,name,max error,avg error,mse,esr,overall_distance,distances_over_time
5,aidadsp/tw40\_california\_crunch\_deerinkstudios,0.3006897,0.08327968,449.52368,0.05539254,3935.808,[ 49.076813  66.393875 187.28415  ...  68.31705   61.28464   62.40577 ]
1,aidadsp/tw40\_blues\_solo\_deerinkstudios,0.27426147,0.024769487,181.72849,0.022832146,2502.4714,[15.637945 19.598104 34.10864  ... 79.10896  62.2637   41.74279 ]
0,aidadsp/tw40\_blues\_deluxe\_deerinkstudios,0.22409058,0.05044045,151.80838,0.015600533,2287.2073,[ 31.069725  37.71254   93.06027  ...  68.7724    45.76181  114.65522 ]
3,aidadsp/tw40\_british\_rhythm\_deerinkstudios,0.38101196,0.077794224,143.27347,0.017745541,2221.982,[40.16191  42.332455 54.718864 ... 70.26338  53.50331  75.16561 ]
4,aidadsp/tw40\_california\_clean\_deerinkstudios,0.159729,0.009837131,85.640564,0.008632164,1717.8981,[50.988472 49.344753 30.748411 ... 47.486584 34.43415  28.681189]
2,aidadsp/tw40\_british\_lead\_deerinkstudios,0.69918823,0.038327444,74.54286,0.024405124,1602.7308,[11.480559  11.753966  64.260574  ...  9.759844  10.0537405  7.7484593]
9,MLTerror15/0.5-0.5-0.5-model-lstm-1,0.8199158,0.045873344,59.454758,0.019988736,1431.3666,[48.157467 59.785618 48.467503 ... 20.174292 16.031176  8.759426]
6,ds/tanh\_3\_256\_tf,0.032592773,0.013562399,7.7943087,0.0010306305,518.25854,[ 5.2159896  5.7669125  6.2167225 ... 15.889462  10.004192   9.3561535]
11,MLTerror15/0.85-0.5-0.85-model-gru-6,0.66763306,0.018955935,5.77709,0.0034019805,446.18213,[2.850334  2.927493  4.114787  ... 4.47921   4.1092377 6.646638 ]
7,MLTerror15/0.5-0.5-0.5-model-gru-4,0.35942078,0.009043013,4.69835,0.0018153687,402.37433,[10.341144   9.2052145 10.327302  ...  6.8994493  8.300332   2.6796553]
10,MLTerror15/0.5-0.85-0.85-model-gru-5,0.50167847,0.02663688,4.2511683,0.0019012766,382.747,[10.025701  19.981022  45.448082  ...  5.1912575  3.8666723  3.5526536]
12,MLTerror15/0.85-0.85-0.85-model-gru-6,0.56539917,0.017281383,2.4421926,0.0017768745,290.09988,[ 2.6205928  2.6552267 21.11132   ...  5.3104467  3.721247   2.2840238]
8,MLTerror15/0.5-0.5-0.5-model-gru-6,0.3617859,0.019469082,2.1103797,0.0009252849,269.6733,[ 8.189989   8.401788  19.5251    ...  2.1303096  1.7961698  2.7744823]
